BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_travel_agency_2000_meters,num_tourist_attraction_1000_meters,num_synagogue_3000_meters,num_real_estate_agency_1000_meters,num_shopping_mall_3000_meters
3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,3672,5,C0,141 VERMONT STREET,11207,3,0,3,3021,3264,2007,1,C0,800000,4/15/2019,brooklyn,141 VERMONT STREET NYC,40.6766948,-73.8948099,6,2,1,0,1,1
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5518,5,B1,3086 MILES AVENUE,10465,2,0,2,3739,2971,2004,1,B1,860000,7/25/2019,bronx,3086 MILES AVENUE NYC,40.8206978,-73.8106431,3,1,1,0,0,0
3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8287,65,A5,1350 EAST 104 STREET,11236,1,0,1,2600,1080,1955,1,A5,600000,7/10/2019,brooklyn,1350 EAST 104 STREET NYC,40.639426,-73.887306,3,0,3,2,0,1
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12548,33,B2,176-32 133RD ROAD,11434,2,0,2,3000,1764,1965,1,B2,705000,8/16/2019,queens,176-32 133RD ROAD NYC,40.6763746,-73.7639864,3,0,1,1,0,0
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4980,53,B3,4083 EDSON AVENUE,10466,2,0,2,2500,1441,1905,1,B3,550000,6/26/2019,bronx,4083 EDSON AVENUE NYC,40.892149,-73.844614,2,2,1,0,0,0
3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6433,1,C0,1721 CROPSEY AVENUE,11214,3,0,3,1775,1912,1920,1,C0,990000,6/10/2019,brooklyn,1721 CROPSEY AVENUE NYC,40.6036485,-74.0089766,13,2,3,2,3,1
3,MARINE PARK,02 TWO FAMILY DWELLINGS,1,7885,136,B9,1717 EAST 38TH STREET,11234,2,0,2,2717,2148,1955,1,B9,805000,8/15/2019,brooklyn,1717 EAST 38TH STREET NYC,40.6153289,-73.9346847,5,3,0,11,2,0
2,PARKCHESTER,02 TWO FAMILY DWELLINGS,1,3937,131,B1,1564 WHITE PLAINS ROAD,10462,2,0,2,2565,2604,1930,1,B1,625000,6/26/2019,bronx,1564 WHITE PLAINS ROAD NYC,40.8398094,-73.8635922,8,1,2,1,2,5
3,MADISON,01 ONE FAMILY DWELLINGS,1,7307,11,A1,1914 EAST 29TH STREET,11229,1,0,1,2000,1800,1930,1,A1,581049,7/15/2019,brooklyn,1914 EAST 29TH STREET NYC,40.6045372,-73.9439383,6,3,1,14,3,0
2,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5058,64,B1,4333 WILDER AVENUE,10466,2,0,2,2125,1574,1945,1,B1,490000,9/27/2019,bronx,4333 WILDER AVENUE NYC,40.8979809,-73.8439533,4,2,0,0,0,1
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,4868,31,B1,290 LINDEN BOULEVARD,11226,2,0,2,3150,2008,1910,1,B1,975000,3/12/2019,brooklyn,290 LINDEN BOULEVARD NYC,40.6524155,-73.9483587,16,3,2,10,4,2
4,EAST ELMHURST,01 ONE FAMILY DWELLINGS,1,1107,25,A5,24-38 97TH STREET,11369,1,0,1,1805,1995,1930,1,A5,730000,4/10/2019,queens,24-38 97TH STREET NYC,40.765233,-73.873076,9,9,3,0,1,0
2,WILLIAMSBRIDGE,02 TWO FAMILY DWELLINGS,1,4871,42,B1,1008 EAST 225TH STRET,10466,2,0,2,1901,1836,1950,1,B1,475000,12/13/2019,bronx,1008 EAST 225TH STRET NYC,40.884763,-73.851615,2,1,1,0,0,0
5,PORT RICHMOND,02 TWO FAMILY DWELLINGS,1,1116,144,B2,50 RIVERSIDE LANE,10302,2,0,2,3712,1550,2018,1,B2,560037,6/10/2019,statenisland,50 RIVERSIDE LANE NYC,40.6371889,-74.14218,2,0,2,0,0,1
