BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_cafe_500_meters,num_tourist_attraction_1000_meters
4,WOODHAVEN,01 ONE FAMILY DWELLINGS,1,9177,116,A1,85-99 98TH STREET,11421.0,1.0,0.0,1.0,2771.0,1344.0,1925.0,1,A1,620000,2019-01-31,queens,85-99 98TH STREET NYC,40.69612,-73.847948,8,4,2
4,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS,1,15793,50,B2,434 BEACH 29TH STREET,11691.0,2.0,0.0,2.0,2786.0,2976.0,2018.0,1,B2,756000,2019-12-30,queens,434 BEACH 29TH STREET NYC,40.5979571,-73.762232,3,0,4
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,5,B9,509 EAST 183RD STREET,10458.0,2.0,0.0,2.0,1420.0,2805.0,1901.0,1,B9,649500,2019-08-23,bronx,509 EAST 183RD STREET NYC,40.8549787,-73.89201609999998,20,8,9
3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8304,10,B1,10101 SEAVIEW AVENUE,11236.0,2.0,0.0,2.0,3176.0,2160.0,1960.0,1,B1,671000,2019-01-07,brooklyn,10101 SEAVIEW AVENUE NYC,40.6360725,-73.88677940000002,2,2,2
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1227,44,A5,29 HARBOR ROAD,10303.0,1.0,0.0,1.0,4288.0,1376.0,1965.0,1,A5,325000,2019-06-27,statenisland,29 HARBOR ROAD NYC,40.636238,-74.15987500000001,0,0,2
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS,1,28,31,B2,241 WESTERVELT AVENUE,10301.0,2.0,0.0,2.0,3552.0,2500.0,1901.0,1,B2,626288,2019-05-16,statenisland,241 WESTERVELT AVENUE NYC,40.6422293,-74.0830445,2,0,7
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,12064,19,A1,126-13 INWOOD STREET,11436.0,1.0,0.0,1.0,2820.0,1264.0,1930.0,1,A1,401544,2019-03-28,queens,126-13 INWOOD STREET NYC,40.67305800000001,-73.79241800000001,2,1,1
5,DONGAN HILLS,01 ONE FAMILY DWELLINGS,1,3334,28,A2,85 HENRY PLACE,10305.0,1.0,0.0,1.0,4500.0,1242.0,1965.0,1,A2,700000,2019-04-24,statenisland,85 HENRY PLACE NYC,40.59024270000001,-74.09179759999998,6,3,1
3,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,1,1122,51,B9,887 PACIFIC STREET,11238.0,2.0,0.0,2.0,2000.0,1920.0,1920.0,1,B9,1700000,2019-07-22,brooklyn,887 PACIFIC STREET NYC,40.6807095,-73.96568189999998,20,14,9
5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2371,87,A5,52 BOGOTA STREET,10314.0,1.0,0.0,1.0,1800.0,1160.0,1993.0,1,A5,354900,2019-04-29,statenisland,52 BOGOTA STREET NYC,40.586551,-74.147583,0,0,1
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7873,72,A1,1682 EAST 49TH STREET,11234.0,1.0,0.0,1.0,2000.0,1648.0,1920.0,1,A1,749000,2019-08-06,brooklyn,1682 EAST 49TH STREET NYC,40.6197255,-73.92820929999998,6,0,0
4,ROSEDALE,02 TWO FAMILY DWELLINGS,1,13254,7,B2,138-16 BROOKVILLE BOULEVARD,11422.0,2.0,0.0,2.0,3264.0,1955.0,2016.0,1,B2,835000,2019-10-04,queens,138-16 BROOKVILLE BOULEVARD NYC,40.668304600000006,-73.73724190000001,3,1,2
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,1,1506,51,B9,535 BAINBRIDGE STREET,11233.0,2.0,0.0,2.0,2000.0,2700.0,1910.0,1,B9,820000,2019-04-30,brooklyn,535 BAINBRIDGE STREET NYC,40.6829589,-73.915594,17,6,2
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3062,38,A1,77-17 66TH ROAD,11379.0,1.0,0.0,1.0,2224.0,1568.0,1925.0,1,A1,697500,2019-08-06,queens,77-17 66TH ROAD NYC,40.714765,-73.876841,3,2,1
3,BUSHWICK,03 THREE FAMILY DWELLINGS,1,3380,47,C0,1057 JEFFERSON AVENUE,11221.0,3.0,0.0,3.0,2000.0,3000.0,1915.0,1,C0,1300000,2019-11-12,brooklyn,1057 JEFFERSON AVENUE NYC,40.68794329999999,-73.9168127,20,6,3
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7841,5,A9,4311 AVENUE M,11234.0,1.0,0.0,1.0,2000.0,1420.0,1920.0,1,A9,655000,2019-10-18,brooklyn,4311 AVENUE M NYC,40.6211908,-73.9333916,4,2,1
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4958,53,B1,3951 HILL AVENUE,10466.0,2.0,0.0,2.0,2660.0,2390.0,2016.0,1,B1,763688,2019-08-21,bronx,3951 HILL AVENUE NYC,40.890021,-73.839013,3,0,1
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6266,35,B3,1172 79TH STREET,11228.0,2.0,0.0,2.0,2333.0,1248.0,1920.0,1,B3,999000,2019-12-16,brooklyn,1172 79TH STREET NYC,40.6194727,-74.0125917,6,3,2
4,REGO PARK,01 ONE FAMILY DWELLINGS,1,3162,36,A5,72-09 DANE PLACE,11375.0,1.0,0.0,1.0,1764.0,1440.0,1945.0,1,A5,773000,2019-01-15,queens,72-09 DANE PLACE NYC,40.720139,-73.85582699999998,10,1,4
2,PARKCHESTER,03 THREE FAMILY DWELLINGS,1,4022,7,C0,540 VAN NEST AVENUE,10460.0,3.0,0.0,3.0,2375.0,2580.0,1901.0,1,C0,650000,2019-01-30,bronx,540 VAN NEST AVENUE NYC,40.841315,-73.86941800000002,9,2,4
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,9000,16,B3,95-20 76TH STREET,11416.0,2.0,0.0,2.0,1700.0,1088.0,1920.0,1,B3,320000,2019-09-27,queens,95-20 76TH STREET NYC,40.682091,-73.862825,8,2,1
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,10256,33,A9,172-05 109TH AVENUE,11433.0,1.0,0.0,1.0,1642.0,1651.0,1920.0,1,A9,325000,2019-07-30,queens,172-05 109TH AVENUE NYC,40.698406,-73.782573,2,0,3
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,1,1520,68,B1,237A SUMPTER STREET,11233.0,2.0,0.0,2.0,1783.0,2400.0,1920.0,1,B1,1250000,2019-04-30,brooklyn,237A SUMPTER STREET NYC,40.680695,-73.915803,15,6,3
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6152,48,A1,36-19 203RD STREET,11361.0,1.0,0.0,1.0,3880.0,1778.0,1940.0,1,A1,1102500,2019-04-30,queens,36-19 203RD STREET NYC,40.7643233,-73.78323689999998,14,1,1
3,MIDWOOD,01 ONE FAMILY DWELLINGS,1,7639,39,A1,1335 EAST 21 STREET,11210.0,1.0,0.0,1.0,3000.0,1680.0,1920.0,1,A1,1180000,2019-09-05,brooklyn,1335 EAST 21 STREET NYC,40.6206863,-73.95413289999998,6,0,1
